Theta   Phi 	 Gain(dB)   	   Gain   	   Phase(deg)
  0   0  -35.07         0.00         179.77
  5   0  -39.71         0.00         180.29
 10   0  -27.34         0.00         180.80
 15   0  -22.43         0.01         180.42
 20   0  -19.65         0.01         177.21
 25   0  -17.43         0.02         177.13
 30   0  -16.01         0.03         177.45
 35   0  -14.62         0.03         179.32
 40   0  -13.43         0.05         178.22
 45   0  -12.42         0.06         176.06
 50   0  -12.06         0.06         180.65
 55   0  -11.10         0.08         180.19
 60   0  -10.61         0.09         180.16
 65   0  -10.00         0.10         179.66
 70   0   -9.84         0.10         181.34
 75   0   -9.41         0.11         181.27
 80   0   -9.20         0.12         181.29
 85   0   -9.05         0.12         176.86
 90   0   -9.01         0.13         173.69
 95   0   -8.98         0.13         172.80
100   0   -8.97         0.13         174.98
105   0   -9.36         0.12         175.42
110   0   -9.58         0.11         176.09
115   0   -9.86         0.10         176.53
120   0  -10.43         0.09         174.95
125   0  -10.88         0.08         175.06
130   0  -11.56         0.07         175.32
135   0  -12.48         0.06         174.29
140   0  -13.02         0.05         173.86
145   0  -14.36         0.04         172.08
150   0  -15.67         0.03         172.46
155   0  -16.73         0.02         173.06
160   0  -19.01         0.01         174.29
165   0  -22.09         0.01         175.27
170   0  -25.66         0.00         175.24
175   0  -35.57         0.00         174.50
180   0  -45.40         0.00         176.82
