Theta   Phi 	 Gain(dB)   	   Gain   	   Phase(deg)
  0   0  -26.06         0.00         -30.68
  5   0  -14.47         0.04         -30.14
 10   0   -7.97         0.16         -30.93
 15   0   -6.31         0.23         -28.92
 20   0   -3.72         0.42         -29.39
 25   0   -2.74         0.53         -29.25
 30   0   -1.74         0.67         -30.94
 35   0   -0.83         0.83         -27.05
 40   0   -0.64         0.86         -28.21
 45   0   -0.29         0.93         -28.77
 50   0   -0.25         0.94         -29.99
 55   0   -0.63         0.86         -32.59
 60   0   -1.55         0.70         -30.60
 65   0   -2.69         0.54         -30.41
 70   0   -3.72         0.42         -30.51
 75   0   -5.56         0.28         -27.70
 80   0   -7.75         0.17         -29.73
 85   0  -10.30         0.09         -30.70
 90   0  -10.22         0.09         -31.78
 95   0  -10.20         0.10         -30.30
100   0   -8.62         0.14         -34.53
105   0   -5.77         0.26         -35.05
110   0   -4.16         0.38         -33.46
115   0   -2.32         0.59         -35.89
120   0   -1.39         0.73         -34.70
125   0   -0.67         0.86         -36.26
130   0   -0.39         0.91         -38.10
135   0   -0.41         0.91         -36.57
140   0   -0.37         0.92         -37.83
145   0   -0.70         0.85         -35.75
150   0   -1.24         0.75         -35.15
155   0   -2.30         0.59         -34.71
160   0   -3.61         0.44         -31.31
165   0   -5.31         0.29         -31.66
170   0   -7.88         0.16         -34.83
175   0  -11.92         0.06         -34.57
180   0  -19.18         0.01         -32.44
