freq : 350.00 MHz
SWR : 4.53
 Theta     Phi     Gain(dB)     Gain     Phase(deg) 
0  0  -58.97        0.00           3.35 
5  0  -22.44        0.01           -49.81 
10  0  -16.51        0.02           -51.63 
15  0  -13.10        0.05           -54.22 
20  0  -10.71        0.08           -57.74 
25  0  -8.88        0.13           -62.15 
30  0  -7.36        0.18           -67.36 
35  0  -6.03        0.25           -73.20 
40  0  -4.79        0.33           -79.41 
45  0  -3.61        0.44           -85.68 
50  0  -2.47        0.57           -91.67 
55  0  -1.38        0.73           -97.12 
60  0  -0.37        0.92           101.86 
65  0  0.54        1.13           105.84 
70  0  1.31        1.35           109.01 
75  0  1.94        1.56           111.42 
80  0  2.39        1.73           113.11 
85  0  2.67        1.85           114.10 
90  0  2.76        1.89           114.44 
95  0  2.67        1.85           114.11 
100  0  2.39        1.73           113.13 
105  0  1.94        1.56           111.45 
110  0  1.32        1.36           109.05 
115  0  0.54        1.13           105.89 
120  0  -0.36        0.92           101.94 
125  0  -1.38        0.73           -97.22 
130  0  -2.46        0.57           -91.80 
135  0  -3.61        0.44           -85.83 
140  0  -4.79        0.33           -79.60 
145  0  -6.04        0.25           -73.42 
150  0  -7.37        0.18           -67.63 
155  0  -8.90        0.13           -62.46 
160  0  -10.74        0.08           -58.12 
165  0  -13.14        0.05           -54.71 
170  0  -16.59        0.02           -52.34 
175  0  -22.59        0.01           -51.20 
180  0  -58.97        0.00           176.65 
0  5  -58.97        0.00           3.35 
5  5  -22.44        0.01           -49.81 
10  5  -16.51        0.02           -51.63 
15  5  -13.10        0.05           -54.22 
20  5  -10.71        0.08           -57.74 
25  5  -8.88        0.13           -62.15 
30  5  -7.36        0.18           -67.36 
35  5  -6.03        0.25           -73.20 
40  5  -4.79        0.33           -79.41 
45  5  -3.61        0.44           -85.68 
50  5  -2.47        0.57           -91.67 
55  5  -1.38        0.73           -97.12 
60  5  -0.37        0.92           101.86 
65  5  0.54        1.13           105.84 
70  5  1.31        1.35           109.01 
75  5  1.94        1.56           111.42 
80  5  2.39        1.73           113.11 
85  5  2.67        1.85           114.10 
90  5  2.76        1.89           114.44 
95  5  2.67        1.85           114.11 
100  5  2.39        1.73           113.13 
105  5  1.94        1.56           111.45 
110  5  1.32        1.36           109.05 
115  5  0.54        1.13           105.89 
120  5  -0.36        0.92           101.94 
125  5  -1.38        0.73           -97.22 
130  5  -2.46        0.57           -91.80 
135  5  -3.61        0.44           -85.83 
140  5  -4.79        0.33           -79.60 
145  5  -6.04        0.25           -73.42 
150  5  -7.37        0.18           -67.63 
155  5  -8.90        0.13           -62.46 
160  5  -10.74        0.08           -58.12 
165  5  -13.14        0.05           -54.71 
170  5  -16.59        0.02           -52.34 
175  5  -22.59        0.01           -51.20 
180  5  -58.97        0.00           176.65 
0  10  -58.97        0.00           3.35 
5  10  -22.44        0.01           -49.81 
10  10  -16.51        0.02           -51.63 
15  10  -13.10        0.05           -54.22 
20  10  -10.71        0.08           -57.74 
25  10  -8.88        0.13           -62.15 
30  10  -7.36        0.18           -67.36 
35  10  -6.03        0.25           -73.20 
40  10  -4.79        0.33           -79.41 
45  10  -3.61        0.44           -85.68 
50  10  -2.47        0.57           -91.67 
55  10  -1.38        0.73           -97.12 
60  10  -0.37        0.92           101.86 
65  10  0.54        1.13           105.84 
70  10  1.31        1.35           109.01 
75  10  1.94        1.56           111.42 
80  10  2.39        1.73           113.11 
85  10  2.67        1.85           114.10 
90  10  2.76        1.89           114.44 
95  10  2.67        1.85           114.11 
100  10  2.39        1.73           113.13 
105  10  1.94        1.56           111.45 
110  10  1.32        1.36           109.05 
115  10  0.54        1.13           105.89 
120  10  -0.36        0.92           101.94 
125  10  -1.38        0.73           -97.22 
130  10  -2.46        0.57           -91.80 
135  10  -3.61        0.44           -85.83 
140  10  -4.79        0.33           -79.60 
145  10  -6.04        0.25           -73.42 
150  10  -7.37        0.18           -67.63 
155  10  -8.90        0.13           -62.46 
160  10  -10.74        0.08           -58.12 
165  10  -13.14        0.05           -54.71 
170  10  -16.59        0.02           -52.34 
175  10  -22.59        0.01           -51.20 
180  10  -58.97        0.00           176.65 
0  15  -58.97        0.00           3.35 
5  15  -22.44        0.01           -49.81 
10  15  -16.51        0.02           -51.63 
15  15  -13.10        0.05           -54.22 
20  15  -10.71        0.08           -57.74 
25  15  -8.88        0.13           -62.15 
30  15  -7.36        0.18           -67.36 
35  15  -6.03        0.25           -73.20 
40  15  -4.79        0.33           -79.41 
45  15  -3.61        0.44           -85.68 
50  15  -2.47        0.57           -91.67 
55  15  -1.38        0.73           -97.12 
60  15  -0.37        0.92           101.86 
65  15  0.54        1.13           105.84 
70  15  1.31        1.35           109.01 
75  15  1.94        1.56           111.42 
80  15  2.39        1.73           113.11 
85  15  2.67        1.85           114.10 
90  15  2.76        1.89           114.44 
95  15  2.67        1.85           114.11 
100  15  2.39        1.73           113.13 
105  15  1.94        1.56           111.45 
110  15  1.32        1.36           109.05 
115  15  0.54        1.13           105.89 
120  15  -0.36        0.92           101.94 
125  15  -1.38        0.73           -97.22 
130  15  -2.46        0.57           -91.80 
135  15  -3.61        0.44           -85.83 
140  15  -4.79        0.33           -79.60 
145  15  -6.04        0.25           -73.42 
150  15  -7.37        0.18           -67.63 
155  15  -8.90        0.13           -62.46 
160  15  -10.74        0.08           -58.12 
165  15  -13.14        0.05           -54.71 
170  15  -16.59        0.02           -52.34 
175  15  -22.59        0.01           -51.20 
180  15  -58.97        0.00           176.65 
0  20  -58.97        0.00           3.35 
5  20  -22.44        0.01           -49.81 
10  20  -16.51        0.02           -51.63 
15  20  -13.10        0.05           -54.22 
20  20  -10.71        0.08           -57.74 
25  20  -8.88        0.13           -62.15 
30  20  -7.36        0.18           -67.36 
35  20  -6.03        0.25           -73.20 
40  20  -4.79        0.33           -79.41 
45  20  -3.61        0.44           -85.68 
50  20  -2.47        0.57           -91.67 
55  20  -1.38        0.73           -97.12 
60  20  -0.37        0.92           101.86 
65  20  0.54        1.13           105.84 
70  20  1.31        1.35           109.01 
75  20  1.94        1.56           111.42 
80  20  2.39        1.73           113.11 
85  20  2.67        1.85           114.10 
90  20  2.76        1.89           114.44 
95  20  2.67        1.85           114.11 
100  20  2.39        1.73           113.13 
105  20  1.94        1.56           111.45 
110  20  1.32        1.36           109.05 
115  20  0.54        1.13           105.89 
120  20  -0.36        0.92           101.94 
125  20  -1.38        0.73           -97.22 
130  20  -2.46        0.57           -91.80 
135  20  -3.61        0.44           -85.83 
140  20  -4.79        0.33           -79.60 
145  20  -6.04        0.25           -73.42 
150  20  -7.37        0.18           -67.63 
155  20  -8.90        0.13           -62.46 
160  20  -10.74        0.08           -58.12 
165  20  -13.14        0.05           -54.71 
170  20  -16.59        0.02           -52.34 
175  20  -22.59        0.01           -51.20 
180  20  -58.97        0.00           176.65 
0  25  -58.97        0.00           3.35 
5  25  -22.44        0.01           -49.81 
10  25  -16.51        0.02           -51.63 
15  25  -13.10        0.05           -54.22 
20  25  -10.71        0.08           -57.74 
25  25  -8.88        0.13           -62.15 
30  25  -7.36        0.18           -67.36 
35  25  -6.03        0.25           -73.20 
40  25  -4.79        0.33           -79.41 
45  25  -3.61        0.44           -85.68 
50  25  -2.47        0.57           -91.67 
55  25  -1.38        0.73           -97.12 
60  25  -0.37        0.92           101.86 
65  25  0.54        1.13           105.84 
70  25  1.31        1.35           109.01 
75  25  1.94        1.56           111.42 
80  25  2.39        1.73           113.11 
85  25  2.67        1.85           114.10 
90  25  2.76        1.89           114.44 
95  25  2.67        1.85           114.11 
100  25  2.39        1.73           113.13 
105  25  1.94        1.56           111.45 
110  25  1.32        1.36           109.05 
115  25  0.54        1.13           105.89 
120  25  -0.36        0.92           101.94 
125  25  -1.38        0.73           -97.22 
130  25  -2.46        0.57           -91.80 
135  25  -3.61        0.44           -85.83 
140  25  -4.79        0.33           -79.60 
145  25  -6.04        0.25           -73.42 
150  25  -7.37        0.18           -67.63 
155  25  -8.90        0.13           -62.46 
