freq : 916.66 MHz
SWR : 7.33
 Theta     Phi     Gain(dB)     Gain     Phase(deg) 
0  0  -45.11        0.00           2.36 
5  0  -11.36        0.07           87.17 
10  0  -5.46        0.28           86.42 
15  0  -2.15        0.61           84.55 
20  0  0.09        1.02           81.92 
25  0  1.63        1.46           78.75 
30  0  2.50        1.78           75.06 
35  0  2.97        1.98           70.82 
40  0  2.83        1.92           65.80 
45  0  2.21        1.66           60.19 
50  0  1.41        1.38           55.93 
55  0  -1.22        0.76           47.54 
60  0  -2.50        0.56           42.51 
65  0  -3.95        0.40           43.62 
70  0  -4.40        0.36           53.07 
75  0  -3.28        0.47           65.78 
80  0  -1.46        0.71           74.44 
85  0  -0.07        0.98           78.55 
90  0  0.42        1.10           79.72 
95  0  -0.08        0.98           78.63 
100  0  -1.47        0.71           74.63 
105  0  -3.30        0.47           66.07 
110  0  -4.44        0.36           53.42 
115  0  -3.99        0.40           43.95 
120  0  -2.54        0.56           42.82 
125  0  -1.25        0.75           47.85 
130  0  1.39        1.38           56.21 
135  0  2.20        1.66           60.47 
140  0  2.81        1.91           66.10 
145  0  2.96        1.98           71.15 
150  0  2.49        1.77           75.45 
155  0  1.61        1.45           79.21 
160  0  0.07        1.02           82.50 
165  0  -2.17        0.61           85.33 
170  0  -5.48        0.28           87.60 
175  0  -11.39        0.07           89.51 
180  0  -45.11        0.00           177.64 
0  5  -45.11        0.00           2.36 
5  5  -11.36        0.07           87.17 
10  5  -5.46        0.28           86.42 
15  5  -2.15        0.61           84.55 
20  5  0.09        1.02           81.92 
25  5  1.63        1.46           78.75 
30  5  2.50        1.78           75.06 
35  5  2.97        1.98           70.82 
40  5  2.83        1.92           65.80 
45  5  2.21        1.66           60.19 
50  5  1.41        1.38           55.93 
55  5  -1.22        0.76           47.54 
60  5  -2.50        0.56           42.51 
65  5  -3.95        0.40           43.62 
70  5  -4.40        0.36           53.07 
75  5  -3.28        0.47           65.78 
80  5  -1.46        0.71           74.44 
85  5  -0.07        0.98           78.55 
90  5  0.42        1.10           79.72 
95  5  -0.08        0.98           78.63 
100  5  -1.47        0.71           74.63 
105  5  -3.30        0.47           66.07 
110  5  -4.44        0.36           53.42 
115  5  -3.99        0.40           43.95 
120  5  -2.54        0.56           42.82 
125  5  -1.25        0.75           47.85 
130  5  1.39        1.38           56.21 
135  5  2.20        1.66           60.47 
140  5  2.81        1.91           66.10 
145  5  2.96        1.98           71.15 
150  5  2.49        1.77           75.45 
155  5  1.61        1.45           79.21 
160  5  0.07        1.02           82.50 
165  5  -2.17        0.61           85.33 
170  5  -5.48        0.28           87.60 
175  5  -11.39        0.07           89.51 
180  5  -45.11        0.00           177.64 
0  10  -45.11        0.00           2.36 
5  10  -11.36        0.07           87.17 
10  10  -5.46        0.28           86.42 
15  10  -2.15        0.61           84.55 
20  10  0.09        1.02           81.92 
25  10  1.63        1.46           78.75 
30  10  2.50        1.78           75.06 
35  10  2.97        1.98           70.82 
40  10  2.83        1.92           65.80 
45  10  2.21        1.66           60.19 
50  10  1.41        1.38           55.93 
55  10  -1.22        0.76           47.54 
60  10  -2.50        0.56           42.51 
65  10  -3.95        0.40           43.62 
70  10  -4.40        0.36           53.07 
75  10  -3.28        0.47           65.78 
80  10  -1.46        0.71           74.44 
85  10  -0.07        0.98           78.55 
90  10  0.42        1.10           79.72 
95  10  -0.08        0.98           78.63 
100  10  -1.47        0.71           74.63 
105  10  -3.30        0.47           66.07 
110  10  -4.44        0.36           53.42 
115  10  -3.99        0.40           43.95 
120  10  -2.54        0.56           42.82 
125  10  -1.25        0.75           47.85 
130  10  1.39        1.38           56.21 
135  10  2.20        1.66           60.47 
140  10  2.81        1.91           66.10 
145  10  2.96        1.98           71.15 
150  10  2.49        1.77           75.45 
155  10  1.61        1.45           79.21 
160  10  0.07        1.02           82.50 
165  10  -2.17        0.61           85.33 
170  10  -5.48        0.28           87.60 
175  10  -11.39        0.07           89.51 
180  10  -45.11        0.00           177.64 
0  15  -45.11        0.00           2.36 
5  15  -11.36        0.07           87.17 
10  15  -5.46        0.28           86.42 
15  15  -2.15        0.61           84.55 
20  15  0.09        1.02           81.92 
25  15  1.63        1.46           78.75 
30  15  2.50        1.78           75.06 
35  15  2.97        1.98           70.82 
40  15  2.83        1.92           65.80 
45  15  2.21        1.66           60.19 
50  15  1.41        1.38           55.93 
55  15  -1.22        0.76           47.54 
60  15  -2.50        0.56           42.51 
65  15  -3.95        0.40           43.62 
70  15  -4.40        0.36           53.07 
75  15  -3.28        0.47           65.78 
80  15  -1.46        0.71           74.44 
85  15  -0.07        0.98           78.55 
90  15  0.42        1.10           79.72 
95  15  -0.08        0.98           78.63 
100  15  -1.47        0.71           74.63 
105  15  -3.30        0.47           66.07 
110  15  -4.44        0.36           53.42 
115  15  -3.99        0.40           43.95 
120  15  -2.54        0.56           42.82 
125  15  -1.25        0.75           47.85 
130  15  1.39        1.38           56.21 
135  15  2.20        1.66           60.47 
140  15  2.81        1.91           66.10 
145  15  2.96        1.98           71.15 
150  15  2.49        1.77           75.45 
155  15  1.61        1.45           79.21 
160  15  0.07        1.02           82.50 
165  15  -2.17        0.61           85.33 
170  15  -5.48        0.28           87.60 
175  15  -11.39        0.07           89.51 
180  15  -45.11        0.00           177.64 
0  20  -45.11        0.00           2.36 
5  20  -11.36        0.07           87.17 
10  20  -5.46        0.28           86.42 
15  20  -2.15        0.61           84.55 
20  20  0.09        1.02           81.92 
25  20  1.63        1.46           78.75 
30  20  2.50        1.78           75.06 
35  20  2.97        1.98           70.82 
40  20  2.83        1.92           65.80 
45  20  2.21        1.66           60.19 
50  20  1.41        1.38           55.93 
55  20  -1.22        0.76           47.54 
60  20  -2.50        0.56           42.51 
65  20  -3.95        0.40           43.62 
70  20  -4.40        0.36           53.07 
75  20  -3.28        0.47           65.78 
80  20  -1.46        0.71           74.44 
85  20  -0.07        0.98           78.55 
90  20  0.42        1.10           79.72 
95  20  -0.08        0.98           78.63 
100  20  -1.47        0.71           74.63 
105  20  -3.30        0.47           66.07 
110  20  -4.44        0.36           53.42 
115  20  -3.99        0.40           43.95 
120  20  -2.54        0.56           42.82 
125  20  -1.25        0.75           47.85 
130  20  1.39        1.38           56.21 
135  20  2.20        1.66           60.47 
140  20  2.81        1.91           66.10 
145  20  2.96        1.98           71.15 
150  20  2.49        1.77           75.45 
155  20  1.61        1.45           79.21 
160  20  0.07        1.02           82.50 
165  20  -2.17        0.61           85.33 
170  20  -5.48        0.28           87.60 
175  20  -11.39        0.07           89.51 
180  20  -45.11        0.00           177.64 
0  25  -45.11        0.00           2.36 
5  25  -11.36        0.07           87.17 
10  25  -5.46        0.28           86.42 
15  25  -2.15        0.61           84.55 
20  25  0.09        1.02           81.92 
25  25  1.63        1.46           78.75 
30  25  2.50        1.78           75.06 
35  25  2.97        1.98           70.82 
40  25  2.83        1.92           65.80 
45  25  2.21        1.66           60.19 
50  25  1.41        1.38           55.93 
55  25  -1.22        0.76           47.54 
60  25  -2.50        0.56           42.51 
65  25  -3.95        0.40           43.62 
70  25  -4.40        0.36           53.07 
75  25  -3.28        0.47           65.78 
80  25  -1.46        0.71           74.44 
85  25  -0.07        0.98           78.55 
90  25  0.42        1.10           79.72 
95  25  -0.08        0.98           78.63 
100  25  -1.47        0.71           74.63 
105  25  -3.30        0.47           66.07 
110  25  -4.44        0.36           53.42 
115  25  -3.99        0.40           43.95 
120  25  -2.54        0.56           42.82 
125  25  -1.25        0.75           47.85 
130  25  1.39        1.38           56.21 
135  25  2.20        1.66           60.47 
140  25  2.81        1.91           66.10 
